Species,Pop.x,Sex.x,Sub_no..x,Warmups,Test_percent_correct,1st_corr,2nd_corr,Pop.y,Sex.y,Sub_no..y,Trials,Accuracy
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,3,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,4,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,5,9,0
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,6,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,7,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,8,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,9,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,10,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,11,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,12,3,0
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,13,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,14,3,0
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,15,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,16,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,17,3,0
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,18,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,19,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,20,3,0
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,21,3,0
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,22,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,23,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,24,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,25,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,26,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,27,6,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,28,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,29,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,30,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,31,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,32,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,33,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,34,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,35,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,36,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,37,3,0
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,38,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,39,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,40,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,41,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,42,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,43,6,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,44,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,45,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,46,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,47,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,48,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,49,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,50,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,51,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,52,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,M,53,3,1
Domestic Dog,Duke,F,2,4,100,100,100,Duke,F,54,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,F,55,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,M,56,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,M,57,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,F,58,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,M,59,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,M,60,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,F,61,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,F,62,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,F,63,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,M,64,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,F,65,3,1
Domestic Dog,Duke,F,2,4,100,100,100,MPI,M,66,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,1,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,2,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,3,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,4,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,5,9,0
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,6,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,7,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,8,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,9,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,10,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,11,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,12,3,0
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,13,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,14,3,0
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,15,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,16,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,17,3,0
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,18,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,19,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,20,3,0
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,21,3,0
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,22,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,23,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,24,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,25,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,26,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,27,6,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,28,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,29,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,30,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,31,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,32,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,33,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,34,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,35,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,36,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,37,3,0
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,38,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,39,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,40,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,41,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,42,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,43,6,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,44,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,45,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,46,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,47,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,48,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,49,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,50,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,51,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,52,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,M,53,3,1
Domestic Dog,Duke,M,3,3,50,100,0,Duke,F,54,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,F,55,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,M,56,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,M,57,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,F,58,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,M,59,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,M,60,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,F,61,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,F,62,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,F,63,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,M,64,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,F,65,3,1
Domestic Dog,Duke,M,3,3,50,100,0,MPI,M,66,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,1,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,2,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,3,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,4,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,5,9,0
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,6,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,7,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,8,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,9,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,10,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,11,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,12,3,0
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,13,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,14,3,0
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,15,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,16,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,17,3,0
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,18,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,19,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,20,3,0
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,21,3,0
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,22,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,23,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,24,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,25,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,26,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,27,6,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,28,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,29,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,30,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,31,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,32,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,33,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,34,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,35,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,36,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,37,3,0
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,38,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,39,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,40,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,41,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,42,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,43,6,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,44,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,45,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,46,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,47,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,48,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,49,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,50,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,51,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,52,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,M,53,3,1
Domestic Dog,Duke,M,4,5,70,60,80,Duke,F,54,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,F,55,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,M,56,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,M,57,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,F,58,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,M,59,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,M,60,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,F,61,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,F,62,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,F,63,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,M,64,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,F,65,3,1
Domestic Dog,Duke,M,4,5,70,60,80,MPI,M,66,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,1,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,2,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,3,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,4,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,5,9,0
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,6,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,7,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,8,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,9,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,10,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,11,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,12,3,0
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,13,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,14,3,0
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,15,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,16,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,17,3,0
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,18,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,19,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,20,3,0
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,21,3,0
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,22,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,23,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,24,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,25,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,26,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,27,6,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,28,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,29,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,30,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,31,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,32,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,33,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,34,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,35,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,36,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,37,3,0
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,38,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,39,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,40,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,41,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,42,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,43,6,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,44,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,45,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,46,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,47,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,48,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,49,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,50,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,51,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,52,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,M,53,3,1
Domestic Dog,Duke,M,5,4,100,100,100,Duke,F,54,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,F,55,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,M,56,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,M,57,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,F,58,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,M,59,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,M,60,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,F,61,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,F,62,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,F,63,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,M,64,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,F,65,3,1
Domestic Dog,Duke,M,5,4,100,100,100,MPI,M,66,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,1,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,2,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,3,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,4,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,5,9,0
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,6,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,7,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,8,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,9,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,10,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,11,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,12,3,0
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,13,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,14,3,0
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,15,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,16,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,17,3,0
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,18,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,19,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,20,3,0
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,21,3,0
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,22,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,23,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,24,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,25,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,26,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,27,6,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,28,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,29,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,30,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,31,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,32,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,33,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,34,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,35,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,36,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,37,3,0
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,38,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,39,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,40,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,41,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,42,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,43,6,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,44,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,45,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,46,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,47,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,48,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,49,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,50,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,51,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,52,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,M,53,3,1
Domestic Dog,Duke,F,6,5,70,60,80,Duke,F,54,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,F,55,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,M,56,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,M,57,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,F,58,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,M,59,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,M,60,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,F,61,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,F,62,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,F,63,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,M,64,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,F,65,3,1
Domestic Dog,Duke,F,6,5,70,60,80,MPI,M,66,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,1,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,2,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,3,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,4,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,5,9,0
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,6,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,7,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,8,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,9,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,10,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,11,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,12,3,0
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,13,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,14,3,0
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,15,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,16,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,17,3,0
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,18,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,19,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,20,3,0
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,21,3,0
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,22,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,23,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,24,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,25,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,26,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,27,6,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,28,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,29,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,30,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,31,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,32,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,33,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,34,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,35,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,36,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,37,3,0
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,38,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,39,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,40,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,41,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,42,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,43,6,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,44,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,45,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,46,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,47,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,48,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,49,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,50,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,51,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,52,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,M,53,3,1
Domestic Dog,Duke,M,7,4,100,100,100,Duke,F,54,3,1
Domestic Dog,Duke,M,7,4,100,100,100,MPI,F,55,3,1
Domestic Dog,Duke,M,7,4,100,100,100,MPI,M,56,3,1
Domestic Dog,Duke,M,7,4,100,100,100,MPI,M,57,3,1
Domestic Dog,Duke,M,7,4,100,100,100,MPI,F,58,3,1
